Ano;Mes;Fonte;Indicador;Unidade_Federacao;Valor;Arquivo_Origem
2023;4.0;SIH;Internações;11 Rondônia;10840,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;12 Acre;5009,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;13 Amazonas;17087,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;14 Roraima;4492,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;15 Pará;43939,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;16 Amapá;5284,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;17 Tocantins;8513,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;21 Maranhão;37758,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;22 Piauí;17848,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;23 Ceará;45894,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;24 Rio Grande do Norte;16205,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;25 Paraíba;18877,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;26 Pernambuco;48435,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;27 Alagoas;11835,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;28 Sergipe;8935,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;29 Bahia;73167,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;31 Minas Gerais;115862,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;32 Espírito Santo;22657,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;33 Rio de Janeiro;69161,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;35 São Paulo;213512,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;41 Paraná;75308,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;42 Santa Catarina;47170,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;43 Rio Grande do Sul;65312,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;50 Mato Grosso do Sul;18398,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;51 Mato Grosso;18562,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;52 Goiás;35146,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Internações;53 Distrito Federal;18776,0;sih_cnv_niuf085834187_72_164_185.csv
2023;4.0;SIH;Valor total;11 Rondônia;10477383,11;sih_cnv_niuf085838187_109_40_194.csv
2023;4.0;SIH;Valor total;12 Acre;4701138,32;sih_cnv_niuf085838187_109_40_194.csv
2023;4.0;SIH;Valor total;13 Amazonas;19551460,68;sih_cnv_niuf085838187_109_40_194.csv
2023;4.0;SIH;Valor total;14 Roraima;4456289,66;sih_cnv_niuf085838187_109_40_194.csv
2023;4.0;SIH;Valor total;15 Pará;47830684,19;sih_cnv_niuf085838187_109_40_194.csv
2023;4.0;SIH;Valor total;16 Amapá;4087811,85;sih_cnv_niuf085838187_109_40_194.csv
2023;4.0;SIH;Valor total;17 Tocantins;10016555,55;sih_cnv_niuf085838187_109_40_194.csv
2023;4.0;SIH;Valor total;21 Maranhão;36141693,82;sih_cnv_niuf085838187_109_40_194.csv
2023;4.0;SIH;Valor total;22 Piauí;20132369,89;sih_cnv_niuf085838187_109_40_194.csv
