 Projeção da População das Unidades da Federação por sexo, idade simples ou faixa-etária: 2000-2070 (edição 2024)
População residente por Unidade da Federação e Ano
Período:2024
"Unidade da Federação";"2024";"Total"
"11 Rondônia";1746227;1746227
"12 Acre";880631;880631
"13 Amazonas";4281209;4281209
"14 Roraima";716793;716793
"15 Pará";8664306;8664306
"16 Amapá";802837;802837
"17 Tocantins";1577342;1577342
"21 Maranhão";7010960;7010960
"22 Piauí";3375646;3375646
"23 Ceará";9233656;9233656
"24 Rio Grande do Norte";3446071;3446071
"25 Paraíba";4145040;4145040
"26 Pernambuco";9539029;9539029
"27 Alagoas";3220104;3220104
"28 Sergipe";2291077;2291077
"29 Bahia";14850513;14850513
"31 Minas Gerais";21322691;21322691
"32 Espírito Santo";4102129;4102129
"33 Rio de Janeiro";17219679;17219679
"35 São Paulo";45973194;45973194
"41 Paraná";11824665;11824665
"42 Santa Catarina";8058441;8058441
"43 Rio Grande do Sul";11229915;11229915
"50 Mato Grosso do Sul";2901895;2901895
"51 Mato Grosso";3836399;3836399
"52 Goiás";7350483;7350483
"53 Distrito Federal";2982818;2982818
"Total";212583750;212583750
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2070 (edição 2024)
 
