 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Dez/2023
"Unidade da Federação";"2023/Dez";"Total"
"11 Rondônia";266;266
"12 Acre";99;99
"13 Amazonas";357;357
"14 Roraima";102;102
"15 Pará";1121;1121
"16 Amapá";140;140
"17 Tocantins";280;280
"21 Maranhão";1137;1137
"22 Piauí";778;778
"23 Ceará";1806;1806
"24 Rio Grande do Norte";550;550
"25 Paraíba";807;807
"26 Pernambuco";2267;2267
"27 Alagoas";697;697
"28 Sergipe";426;426
"29 Bahia";2872;2872
"31 Minas Gerais";5803;5803
"32 Espírito Santo";929;929
"33 Rio de Janeiro";4760;4760
"35 São Paulo";11292;11292
"41 Paraná";3225;3225
"42 Santa Catarina";1878;1878
"43 Rio Grande do Sul";3240;3240
"50 Mato Grosso do Sul";762;762
"51 Mato Grosso";512;512
"52 Goiás";1243;1243
"53 Distrito Federal";594;594
"Total";47943;47943
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
