 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Out/2023
"Unidade da Federação";"2023/Out";"Total"
"11 Rondônia";282;282
"12 Acre";94;94
"13 Amazonas";479;479
"14 Roraima";104;104
"15 Pará";1102;1102
"16 Amapá";96;96
"17 Tocantins";223;223
"21 Maranhão";1032;1032
"22 Piauí";696;696
"23 Ceará";1779;1779
"24 Rio Grande do Norte";680;680
"25 Paraíba";861;861
"26 Pernambuco";2522;2522
"27 Alagoas";681;681
"28 Sergipe";497;497
"29 Bahia";2911;2911
"31 Minas Gerais";5868;5868
"32 Espírito Santo";1090;1090
"33 Rio de Janeiro";5053;5053
"35 São Paulo";11365;11365
"41 Paraná";3215;3215
"42 Santa Catarina";1892;1892
"43 Rio Grande do Sul";3610;3610
"50 Mato Grosso do Sul";730;730
"51 Mato Grosso";562;562
"52 Goiás";1263;1263
"53 Distrito Federal";602;602
"Total";49289;49289
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
