 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Jan/2023
"Unidade da Federação";"2023/Jan";"Total"
"11 Rondônia";351;351
"12 Acre";108;108
"13 Amazonas";684;684
"14 Roraima";113;113
"15 Pará";1217;1217
"16 Amapá";123;123
"17 Tocantins";252;252
"21 Maranhão";1159;1159
"22 Piauí";702;702
"23 Ceará";1924;1924
"24 Rio Grande do Norte";649;649
"25 Paraíba";904;904
"26 Pernambuco";2182;2182
"27 Alagoas";654;654
"28 Sergipe";476;476
"29 Bahia";2771;2771
"31 Minas Gerais";5536;5536
"32 Espírito Santo";987;987
"33 Rio de Janeiro";4757;4757
"35 São Paulo";11144;11144
"41 Paraná";3283;3283
"42 Santa Catarina";2039;2039
"43 Rio Grande do Sul";3455;3455
"50 Mato Grosso do Sul";671;671
"51 Mato Grosso";530;530
"52 Goiás";1288;1288
"53 Distrito Federal";549;549
"Total";48508;48508
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
