 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Fev/2023
"Unidade da Federação";"2023/Fev";"Total"
"11 Rondônia";211;211
"12 Acre";141;141
"13 Amazonas";619;619
"14 Roraima";120;120
"15 Pará";1189;1189
"16 Amapá";132;132
"17 Tocantins";221;221
"21 Maranhão";1172;1172
"22 Piauí";595;595
"23 Ceará";1811;1811
"24 Rio Grande do Norte";533;533
"25 Paraíba";862;862
"26 Pernambuco";2035;2035
"27 Alagoas";596;596
"28 Sergipe";411;411
"29 Bahia";2709;2709
"31 Minas Gerais";4984;4984
"32 Espírito Santo";781;781
"33 Rio de Janeiro";4145;4145
"35 São Paulo";9883;9883
"41 Paraná";2908;2908
"42 Santa Catarina";1938;1938
"43 Rio Grande do Sul";3082;3082
"50 Mato Grosso do Sul";690;690
"51 Mato Grosso";528;528
"52 Goiás";1129;1129
"53 Distrito Federal";507;507
"Total";43932;43932
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
