 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Mar/2023
"Unidade da Federação";"2023/Mar";"Total"
"11 Rondônia";417;417
"12 Acre";152;152
"13 Amazonas";665;665
"14 Roraima";175;175
"15 Pará";1269;1269
"16 Amapá";126;126
"17 Tocantins";192;192
"21 Maranhão";1092;1092
"22 Piauí";661;661
"23 Ceará";1848;1848
"24 Rio Grande do Norte";621;621
"25 Paraíba";927;927
"26 Pernambuco";2349;2349
"27 Alagoas";598;598
"28 Sergipe";424;424
"29 Bahia";2672;2672
"31 Minas Gerais";5663;5663
"32 Espírito Santo";974;974
"33 Rio de Janeiro";4715;4715
"35 São Paulo";11363;11363
"41 Paraná";3162;3162
"42 Santa Catarina";1846;1846
"43 Rio Grande do Sul";3289;3289
"50 Mato Grosso do Sul";712;712
"51 Mato Grosso";592;592
"52 Goiás";1359;1359
"53 Distrito Federal";615;615
"Total";48478;48478
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
