 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Mai/2023
"Unidade da Federação";"2023/Mai";"Total"
"11 Rondônia";381;381
"12 Acre";199;199
"13 Amazonas";659;659
"14 Roraima";118;118
"15 Pará";1194;1194
"16 Amapá";157;157
"17 Tocantins";380;380
"21 Maranhão";1242;1242
"22 Piauí";663;663
"23 Ceará";2094;2094
"24 Rio Grande do Norte";600;600
"25 Paraíba";940;940
"26 Pernambuco";2333;2333
"27 Alagoas";640;640
"28 Sergipe";457;457
"29 Bahia";2869;2869
"31 Minas Gerais";5881;5881
"32 Espírito Santo";933;933
"33 Rio de Janeiro";4577;4577
"35 São Paulo";11361;11361
"41 Paraná";3353;3353
"42 Santa Catarina";2089;2089
"43 Rio Grande do Sul";3584;3584
"50 Mato Grosso do Sul";706;706
"51 Mato Grosso";635;635
"52 Goiás";1375;1375
"53 Distrito Federal";547;547
"Total";49967;49967
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
