 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Ago/2024
"Unidade da Federação";"2024/Ago";"Total"
"11 Rondônia";334;334
"12 Acre";147;147
"13 Amazonas";581;581
"14 Roraima";106;106
"15 Pará";1242;1242
"16 Amapá";105;105
"17 Tocantins";297;297
"21 Maranhão";1119;1119
"22 Piauí";678;678
"23 Ceará";2066;2066
"24 Rio Grande do Norte";637;637
"25 Paraíba";1064;1064
"26 Pernambuco";2534;2534
"27 Alagoas";660;660
"28 Sergipe";445;445
"29 Bahia";3244;3244
"31 Minas Gerais";6313;6313
"32 Espírito Santo";983;983
"33 Rio de Janeiro";4980;4980
"35 São Paulo";13070;13070
"41 Paraná";3990;3990
"42 Santa Catarina";2379;2379
"43 Rio Grande do Sul";4225;4225
"50 Mato Grosso do Sul";820;820
"51 Mato Grosso";799;799
"52 Goiás";1385;1385
"53 Distrito Federal";630;630
"Total";54833;54833
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
