 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês processamento
Período:Abr/2024
"Unidade da Federação";"2024/Abr";"Total"
"11 Rondônia";297;297
"12 Acre";150;150
"13 Amazonas";692;692
"14 Roraima";77;77
"15 Pará";1307;1307
"16 Amapá";116;116
"17 Tocantins";333;333
"21 Maranhão";1218;1218
"22 Piauí";818;818
"23 Ceará";2144;2144
"24 Rio Grande do Norte";657;657
"25 Paraíba";1108;1108
"26 Pernambuco";2454;2454
"27 Alagoas";681;681
"28 Sergipe";480;480
"29 Bahia";3300;3300
"31 Minas Gerais";6366;6366
"32 Espírito Santo";1001;1001
"33 Rio de Janeiro";4554;4554
"35 São Paulo";12619;12619
"41 Paraná";3332;3332
"42 Santa Catarina";2074;2074
"43 Rio Grande do Sul";3554;3554
"50 Mato Grosso do Sul";693;693
"51 Mato Grosso";645;645
"52 Goiás";1427;1427
"53 Distrito Federal";651;651
"Total";52748;52748
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
