CODIGO,DESCRICAO_CID
A048,Outras infecções bacterianas intestinais especificadas
A049,Infecção intestinal bacteriana não especificada
A080,Enterite por rotavírus
A083,Outras enterites virais
A084,Infecção intestinal devida a vírus não especificado
A085,Outras infecções intestinais especificadas
A09,Diarréia e gastroenterite de origem infecciosa presumível
A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura"
A153,"Tuberculose pulmonar, com confirmação por meio não especificado"
A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica"
A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica"
A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica"
A279,Leptospirose não especificada
A310,Infecção pulmonar micobacteriana
A311,Infecção cutânea micobacteriana
A318,Outras infecções micobacterianas
A319,Infecção micobacteriana não especificada
A403,Septicemia por Streptococcus pneumonia
A408,Outras septicemias estreptocócicas
A409,Septicemia estreptocócica não especificada
A410,Septicemia por Staphylococcus aureus
A411,Septicemia por outros estafilococos especificados
A412,Septicemia por estafilococos não especificados
A414,Septicemia por anaeróbios
A415,Septicemia por outros microorganismos gram-negativos
A418,Outras septicemias especificadas
A419,Septicemia não especificada
A46,Erisipela
A480,Gangrena gasosa
A488,Outras doenças bacterianas especificadas
A490,Infecção estafilocócica de localização não especificada
A491,Infecção estreptocócica de localização não especificada
A498,Outras infecções bacterianas de localização não especificada
A499,Infecção bacteriana não especificada
A500,Sífilis congênita precoce sintomática
A501,"Sífilis congênita precoce, forma latente"
A502,Sífilis congênita precoce não especificada
A509,Sífilis congênita não especificada
A522,Neurossífilis assintomática
A630,Verrugas anogenitais (venéreas)
A90,Dengue [dengue clássico]
A91,Febre hemorrágica devida ao vírus do dengue
B012,Pneumopatia varicelosa
B07,Verrugas de origem viral
B081,Molusco contagioso
B088,Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas
B169,Hepatite aguda B sem agente Delta e sem coma hepático
B200,Doença pelo HIV resultando em infecções micobacterianas
B201,Doença pelo HIV resultando em outras infecções bacterianas
B202,Doença pelo HIV resultando em doença citomegálica
B207,Doença pelo HIV resultando em infecções múltiplas
B209,Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada
B210,Doença pelo HIV resultando em sarcoma de Kaposi
B219,Doença pelo HIV resultando em neoplasia maligna não especificada
B220,Doença pelo HIV resultando em encefalopatia
B24,Doença pelo vírus da imunodeficiência humana [HIV] não especificada
B258,Outras doenças por citomegalovírus
B259,Doença não especificada por citomegalovírus
B340,Infecção por adenovírus de localização não especificada
B342,Infecção por coronavírus de localização não especificada
B348,Outras infecções por vírus de localização não especificada
B349,Infecção viral não especificada
B551,Leishmaniose cutânea
B552,Leishmaniose cutâneo-mucosa
B59,Pneumocistose
B871,Miíase das feridas
B91,Seqüelas de poliomielite
B92,Seqüelas de hanseníase [lepra]
B955,"Estreptococo não especificado, como causa de doenças classificadas em outros capítulos"
B956,"Staphylococcus aureus, como causa de doenças classificadas em outros capítulos"
B957,Outros estafilococos como causa de doenças classificadas em outros capítulos
B958,"Estafilococo não especificado, como causa de doenças classificadas em outros capítulos"
B99,"Doenças infecciosas, outras e as não especificadas"
C001,Neoplasia maligna do lábio inferior externo
C008,Neoplasia maligna do lábio com lesão invasiva
C009,"Neoplasia maligna do lábio, não especificado"
C01,Neoplasia maligna da base da língua
C021,Neoplasia maligna da borda da língua
C028,Neoplasia maligna da língua com lesão invasiva
C029,"Neoplasia maligna da língua, não especificada"
C048,Neoplasia maligna do assoalho da boca com lesão invasiva
C049,"Neoplasia maligna do assoalho da boca, não especificado"
C069,"Neoplasia maligna da boca, não especificada"
C07,Neoplasia maligna da glândula parótida
C108,Neoplasia maligna da orofaringe com lesão invasiva
C109,"Neoplasia maligna da orofaringe, não especificada"
C119,"Neoplasia maligna da nasofaringe, não especificada"
C139,"Neoplasia maligna da hipofaringe, não especificada"
C150,Neoplasia maligna da porção cervical do esôfago (esôfago cervical)
C158,Neoplasia maligna do esôfago com lesão invasiva
C159,"Neoplasia maligna do esôfago, não especificado"
C160,Neoplasia maligna da cárdia
C161,Neoplasia maligna do fundo do estômago
C162,Neoplasia maligna do corpo do estômago
C163,Neoplasia maligna do antro pilórico
C165,"Neoplasia maligna da pequena curvatura do estômago, não especificada"
C166,"Neoplasia maligna da grande curvatura do estômago, não especificada"
C168,Neoplasia maligna do estômago com lesão invasiva
C169,"Neoplasia maligna do estômago, não especificado"
C170,Neoplasia maligna do duodeno
C179,"Neoplasia maligna do intestino delgado, não especificado"
C180,Neoplasia maligna do ceco
C181,Neoplasia maligna do apêndice (vermiforme)
C182,Neoplasia maligna do cólon ascendente
C183,Neoplasia maligna da flexura (ângulo) hepática(o)
C184,Neoplasia maligna do cólon transverso
