NOME_UF,CO_UF_IBGE,Ano,Leitos SUS,Leitos UTI total,Leitos existentes,População residente,Qtd hospitais,TOTAL_INTERNACOES,TOTAL_OBITOS_SIH,VALOR_TOTAL_SIH,MEDIA_PERMANENCIA_ANO,INTERNACOES_POR_LEITO,TAXA_MORTALIDADE_HOSPITALAR,GASTO_MEDIO_INTERNACAO,LEITOS_POR_10K_HAB
Acre,12,2023,1547.0,116.0,1790.0,876582.0,34.0,59780.0,1786.0,54993404.49,4.558333333333334,33.39664804469274,2.9876212780194042,919.9298174974908,20.420223093789286
Acre,12,2024,1611.0,106.0,1793.0,880631.0,34.0,57240.0,1805.0,58829216.76,4.808333333333334,31.92414947016174,3.1533892382948987,1027.7640943396227,20.360400667248825
Acre,12,2025,1694.0,105.0,1881.0,884372.0,34.0,61479.0,1791.0,63907906.620000005,4.741666666666666,32.68421052631579,2.9131898697116085,1039.507907090226,21.269330100907766
Alagoas,27,2023,5997.0,694.0,7338.0,3218607.0,98.0,162320.0,7926.0,230291187.85,5.8,22.120468792586536,4.882947264662396,1418.7480769467718,22.79868278419826
Alagoas,27,2024,6062.0,697.0,7413.0,3220104.0,97.0,170203.0,7776.0,263311174.02,5.783333333333334,22.960070147038987,4.568662126989536,1547.041908897023,23.020995595173325
Alagoas,27,2025,6193.0,742.0,7605.0,3220848.0,99.0,173657.0,8049.0,290354971.5,5.883333333333333,22.834582511505587,4.634998877096805,1672.0026920884272,23.61179416104082
Amapá,16,2023,1348.0,140.0,1578.0,799124.0,22.0,56850.0,1529.0,47548196.68,4.841666666666667,36.02661596958175,2.6895338610378188,836.379888830255,19.746622551694106
Amapá,16,2024,1547.0,185.0,1859.0,802837.0,23.0,57244.0,1434.0,49733739.05,4.875,30.792899408284022,2.505066033121375,868.8026526797568,23.155385215180665
Amapá,16,2025,1539.0,230.0,1887.0,806517.0,23.0,57873.0,1443.0,54508024.62,4.666666666666667,30.66931637519873,2.493390700326577,941.8558675029806,23.396902979106457
Amazonas,13,2023,6100.0,793.0,7387.0,4240571.0,109.0,214624.0,7046.0,243509737.9,4.883333333333334,29.054284553946122,3.2829506485761146,1134.5876411771285,17.41982388692466
Amazonas,13,2024,6195.0,808.0,7569.0,4281209.0,113.0,225999.0,7070.0,265871955.64000002,4.916666666666667,29.858501783590963,3.1283324262496732,1176.4297879194157,17.679585369459886
Amazonas,13,2025,6180.0,845.0,7634.0,4321616.0,112.0,264482.0,8220.0,321518423.24,4.591666666666667,34.64527115535761,3.1079619785089343,1215.6533270317072,17.664688394341375
Bahia,29,2023,26022.0,3098.0,33295.0,14828806.0,624.0,893953.0,34536.0,1172359754.83,4.716666666666667,26.84946688691996,3.8632903519536264,1311.4333246043136,22.45292034975709
Bahia,29,2024,26590.0,3299.0,33813.0,14850513.0,627.0,942814.0,36679.0,1256991152.85,4.6499999999999995,27.883181025049538,3.890374983825017,1333.2334403710593,22.76891040733744
Bahia,29,2025,26583.0,3332.0,33896.0,14870907.0,626.0,959081.0,37526.0,1362492312.62,4.708333333333333,28.29481354732122,3.912703932201764,1420.622775990766,22.793498742208527
Ceará,23,2023,16675.0,1763.0,21246.0,9196672.0,311.0,553695.0,22560.0,764218302.66,5.858333333333333,26.061140920643886,4.074445317367865,1380.2152857800775,23.101835098609584
Ceará,23,2024,16842.0,1833.0,21376.0,9233656.0,310.0,582335.0,23819.0,847978907.74,5.75,27.242468188622755,4.090257326109542,1456.1702589403008,23.15009352741753
Ceará,23,2025,17681.0,1957.0,22552.0,9268836.0,319.0,593254.0,23608.0,931599828.93,5.791666666666667,26.306048244058175,3.9794084827072385,1570.3220356373492,24.330994744108107
Distrito Federal,53,2023,5200.0,1882.0,10108.0,2967543.0,72.0,236343.0,6963.0,345835020.43,5.766666666666667,23.38177681044717,2.9461418362295477,1463.2759186013548,34.06184847195137
Distrito Federal,53,2024,5555.0,2089.0,10686.0,2982818.0,71.0,247068.0,7179.0,391038880.93,5.691666666666666,23.120718697361035,2.9056777891106904,1582.7176361568474,35.82518276341366
Distrito Federal,53,2025,5560.0,2107.0,10531.0,2996899.0,69.0,247901.0,7066.0,422873992.71,5.75,23.540119646757194,2.8503313822856704,1705.8180189269103,35.13965602444394
Espírito Santo,32,2023,6542.0,1680.0,9814.0,4076068.0,116.0,288108.0,11658.0,483520544.57,5.016666666666667,29.356837171387813,4.046399266941564,1678.2614317200494,24.07712530801743
Espírito Santo,32,2024,6763.0,1724.0,10118.0,4102129.0,114.0,306748.0,11968.0,533409041.22,4.866666666666666,30.317058707254397,3.901573930392374,1738.9161175296988,24.665240902955514
Espírito Santo,32,2025,6776.0,1773.0,10243.0,4126854.0,114.0,320495.0,12524.0,564342491.38,4.791666666666667,31.28917309382017,3.907705268412924,1760.846476169675,24.820359528105428
Goiás,52,2023,13037.0,2074.0,20545.0,7274463.0,450.0,414943.0,15304.0,583890520.9300001,4.716666666666667,20.196787539547334,3.688217417814013,1407.1583830309226,28.242634542233564
Goiás,52,2024,13250.0,2156.0,20177.0,7350483.0,451.0,442129.0,15920.0,652975369.42,4.575,21.912524161173614,3.600759054484098,1476.888802634525,27.449896829909
Goiás,52,2025,13289.0,2274.0,20313.0,7423629.0,453.0,457403.0,16484.0,744189222.48,4.558333333333333,22.517747255452175,3.6038241987918753,1626.9880662785333,27.362628170130805
Maranhão,21,2023,14212.0,1292.0,16732.0,7003234.0,316.0,479680.0,13773.0,476784796.55,4.991666666666666,28.668419794405928,2.871289192795197,993.9643023473983,23.891819122422586
Maranhão,21,2024,14032.0,1234.0,16485.0,7010960.0,316.0,495591.0,14533.0,531724417.19,5.066666666666666,30.0631483166515,2.9324584183328595,1072.909752578235,23.51318507023289
Maranhão,21,2025,14423.0,1292.0,16900.0,7018211.0,323.0,504682.0,15116.0,565510612.1800001,5.0249999999999995,29.86284023668639,2.995153383714894,1120.5285946001643,24.080210754564092
Mato Grosso,51,2023,6626.0,1189.0,9105.0,3778389.0,177.0,224815.0,6979.0,267072817.03,4.325,24.69137836353652,3.1043302270755952,1187.9670708360206,24.09757174287772
Mato Grosso,51,2024,6743.0,1185.0,9228.0,3836399.0,176.0,246733.0,7992.0,318333499.36,4.425,26.737429562201992,3.2391289369480365,1290.194255977109,24.053806707800724
Mato Grosso,51,2025,6793.0,1290.0,9326.0,3893659.0,180.0,263503.0,8470.0,349998136.79,4.516666666666667,28.25466437915505,3.2143846559621716,1328.2510513732293,23.951763623881803
Mato Grosso do Sul,50,2023,4435.0,750.0,6630.0,2878009.0,121.0,209362.0,8679.0,320850061.98,4.5,31.57797888386124,4.145451419073185,1532.5133595399357,23.03675909283119
Mato Grosso do Sul,50,2024,4467.0,761.0,6665.0,2901895.0,124.0,213196.0,8900.0,329823707.0,4.483333333333333,31.987396849212303,4.174562374528603,1547.0445364828608,22.96775038380093
Mato Grosso do Sul,50,2025,4492.0,842.0,6802.0,2924631.0,122.0,211965.0,8872.0,340173518.06,4.608333333333333,31.16215818876801,4.185596678696955,1604.8570191305168,23.257634894795274
Minas Gerais,31,2023,32482.0,5671.0,47410.0,21247401.0,642.0,1430889.0,68682.0,2525287412.92,4.916666666666667,30.181164311326725,4.7999530361893905,1764.8380922070126,22.313317285252914
Minas Gerais,31,2024,32933.0,5894.0,48640.0,21322691.0,661.0,1551100.0,72514.0,2895884065.86,4.783333333333333,31.88939144736842,4.675004835278189,1866.9873417961448,22.811379670605366
Minas Gerais,31,2025,33311.0,6091.0,49594.0,21393441.0,663.0,1591841.0,71612.0,3305535788.53,4.7,32.0974513045933,4.498690509919019,2076.548969733786,23.1818714904255
Paraná,41,2023,20510.0,3634.0,29781.0,11753862.0,432.0,927740.0,39061.0,1789850937.3000002,4.333333333333333,31.15207682750747,4.210339103628172,1929.2592076443834,25.337204061099236
Paraná,41,2024,21543.0,3731.0,31004.0,11824665.0,444.0,1021371.0,42435.0,2020168915.63,4.216666666666667,32.943200877306154,4.154709699022197,1977.8992311608613,26.21977028524698
Paraná,41,2025,21780.0,3728.0,31046.0,11890584.0,448.0,1084846.0,42018.0,2222028008.99,4.075,34.94318108613026,3.873176469286885,2048.242800351386,26.109735232516755
Paraíba,25,2023,7968.0,1113.0,10665.0,4124468.0,182.0,226767.0,10637.0,333994223.91,5.5,21.262728551336146,4.690717785215662,1472.851975419704,25.857880337536862
Paraíba,25,2024,8174.0,1009.0,10611.0,4145040.0,188.0,258534.0,12663.0,552039084.94,5.291666666666667,24.364715860899068,4.8980018102067815,2135.266869889454,25.599270453361125
Paraíba,25,2025,8197.0,1096.0,10851.0,4164468.0,192.0,255637.0,12996.0,547481480.88,5.3500000000000005,23.558842502995116,5.083771128592496,2141.6363080461747,26.0561493088673
Pará,15,2023,12400.0,1507.0,16494.0,8616120.0,265.0,526871.0,14281.0,599228104.17,4.25,31.943191463562506,2.7105306612054942,1137.3336246823226,19.14318742078801
Pará,15,2024,12602.0,1622.0,16778.0,8664306.0,275.0,551049.0,14876.0,655476645.61,4.166666666666667,32.8435451186077,2.699578440392778,1189.5070050213321,19.364505362576068
Pará,15,2025,12872.0,1693.0,17399.0,8711196.0,284.0,577592.0,16392.0,738487943.11,4.3,33.196850393700785,2.8379894458372,1278.5633165106165,19.9731472004533
Pernambuco,26,2023,18135.0,2950.0,25489.0,9514483.0,381.0,614131.0,26818.0,992104956.07,5.358333333333333,24.0939621012986,4.366820759740186,1615.461450521143,26.789684736417104
Pernambuco,26,2024,18032.0,2917.0,25513.0,9539029.0,390.0,666261.0,28237.0,1128147241.58,5.075,26.114569043232862,4.238128901436524,1693.2512057286858,26.745908834117184
Pernambuco,26,2025,17564.0,3004.0,25628.0,9562007.0,396.0,668695.0,28191.0,1184243341.09,5.0249999999999995,26.09235991883877,4.215823357435005,1770.976814676347,26.801904662901837
Piauí,22,2023,6643.0,574.0,8264.0,3365881.0,197.0,224176.0,8239.0,267506223.12,5.216666666666667,27.126815101645693,3.6752373135393617,1193.2866280065664,24.552264325447037
Piauí,22,2024,6576.0,564.0,8105.0,3375646.0,196.0,217731.0,8399.0,273377721.38,5.2749999999999995,26.863787785317705,3.857512251356031,1255.5755559842191,24.010219081029234
Piauí,22,2025,6595.0,565.0,8020.0,3384547.0,194.0,222277.0,8141.0,282265850.96,5.033333333333333,27.715336658354115,3.6625471821196074,1269.8833030857893,23.695933311016216
Rio Grande do Norte,24,2023,6658.0,835.0,8213.0,3436278.0,197.0,205082.0,7301.0,343826901.81,4.908333333333333,24.970412760258128,3.5600393988745966,1676.533785558947,23.90086017487526
Rio Grande do Norte,24,2024,6741.0,834.0,8255.0,3446071.0,199.0,215991.0,7965.0,390702512.59,4.708333333333333,26.164869775893397,3.6876536522355097,1808.8832987948572,23.954816949505684
Rio Grande do Norte,24,2025,6719.0,857.0,8344.0,3455236.0,197.0,224500.0,8319.0,432692159.83,4.675,26.90556088207095,3.7055679287305123,1927.359286547884,24.14885698111504
Rio Grande do Sul,43,2023,22159.0,2872.0,32488.0,11222292.0,324.0,799698.0,42091.0,1361292238.91,5.991666666666667,24.615180989903966,5.26336191912447,1702.2579009951257,28.94952296732254
Rio Grande do Sul,43,2024,22678.0,2996.0,33363.0,11229915.0,328.0,827104.0,45390.0,1497327063.95,5.908333333333334,24.791055960195425,5.487822571284869,1810.3250183169228,29.709040540378087
Rio Grande do Sul,43,2025,22926.0,3017.0,33581.0,11233263.0,330.0,858355.0,44931.0,1688110987.26,5.8,25.5607337482505,5.234547477442317,1966.6816029032277,29.89425245362812
Rio de Janeiro,33,2023,24469.0,8531.0,45520.0,17213813.0,495.0,877480.0,57181.0,1449816963.04,6.283333333333334,19.276801405975394,6.51650180061084,1652.2507214295483,26.443879691268865
Rio de Janeiro,33,2024,24201.0,8456.0,44767.0,17219679.0,505.0,894912.0,56472.0,1611084163.98,5.991666666666667,19.99043938615498,6.310341128513194,1800.2710478572194,25.997581023432552
Rio de Janeiro,33,2025,24229.0,8580.0,44096.0,17223547.0,493.0,918551.0,59201.0,1712029399.98,5.941666666666666,20.83071026850508,6.445042245885095,1863.8370650949157,25.602159648067847
