POPULACAO,CO_UF_IBGE,NOME_UF,ANO_REF
1740255.0,11,Rondônia,2023
876582.0,12,Acre,2023
4240571.0,13,Amazonas,2023
695270.0,14,Roraima,2023
8616120.0,15,Pará,2023
799124.0,16,Amapá,2023
1567191.0,17,Tocantins,2023
7003234.0,21,Maranhão,2023
3365881.0,22,Piauí,2023
9196672.0,23,Ceará,2023
3436278.0,24,Rio Grande do Norte,2023
4124468.0,25,Paraíba,2023
9514483.0,26,Pernambuco,2023
3218607.0,27,Alagoas,2023
2281994.0,28,Sergipe,2023
14828806.0,29,Bahia,2023
21247401.0,31,Minas Gerais,2023
4076068.0,32,Espírito Santo,2023
17213813.0,33,Rio de Janeiro,2023
45850570.0,35,São Paulo,2023
11753862.0,41,Paraná,2023
7927212.0,42,Santa Catarina,2023
11222292.0,43,Rio Grande do Sul,2023
2878009.0,50,Mato Grosso do Sul,2023
3778389.0,51,Mato Grosso,2023
7274463.0,52,Goiás,2023
2967543.0,53,Distrito Federal,2023
1746227.0,11,Rondônia,2024
880631.0,12,Acre,2024
4281209.0,13,Amazonas,2024
716793.0,14,Roraima,2024
8664306.0,15,Pará,2024
802837.0,16,Amapá,2024
1577342.0,17,Tocantins,2024
7010960.0,21,Maranhão,2024
3375646.0,22,Piauí,2024
9233656.0,23,Ceará,2024
3446071.0,24,Rio Grande do Norte,2024
4145040.0,25,Paraíba,2024
9539029.0,26,Pernambuco,2024
3220104.0,27,Alagoas,2024
2291077.0,28,Sergipe,2024
14850513.0,29,Bahia,2024
21322691.0,31,Minas Gerais,2024
4102129.0,32,Espírito Santo,2024
17219679.0,33,Rio de Janeiro,2024
45973194.0,35,São Paulo,2024
11824665.0,41,Paraná,2024
8058441.0,42,Santa Catarina,2024
11229915.0,43,Rio Grande do Sul,2024
2901895.0,50,Mato Grosso do Sul,2024
3836399.0,51,Mato Grosso,2024
7350483.0,52,Goiás,2024
2982818.0,53,Distrito Federal,2024
1751950.0,11,Rondônia,2025
884372.0,12,Acre,2025
4321616.0,13,Amazonas,2025
738772.0,14,Roraima,2025
8711196.0,15,Pará,2025
806517.0,16,Amapá,2025
1586859.0,17,Tocantins,2025
7018211.0,21,Maranhão,2025
3384547.0,22,Piauí,2025
9268836.0,23,Ceará,2025
3455236.0,24,Rio Grande do Norte,2025
4164468.0,25,Paraíba,2025
9562007.0,26,Pernambuco,2025
3220848.0,27,Alagoas,2025
2299425.0,28,Sergipe,2025
14870907.0,29,Bahia,2025
21393441.0,31,Minas Gerais,2025
4126854.0,32,Espírito Santo,2025
17223547.0,33,Rio de Janeiro,2025
46081801.0,35,São Paulo,2025
11890584.0,41,Paraná,2025
8186962.0,42,Santa Catarina,2025
11233263.0,43,Rio Grande do Sul,2025
2924631.0,50,Mato Grosso do Sul,2025
3893659.0,51,Mato Grosso,2025
7423629.0,52,Goiás,2025
2996899.0,53,Distrito Federal,2025
