NOME_UF,ANO_REF,TOTAL_LEITOS_EXISTENTES,TOTAL_LEITOS_SUS,QTD_ESTABELECIMENTOS,POPULACAO,CO_UF_IBGE,LEITOS_POR_10K_HAB,TOTAL_OBITOS,OBITOS_POR_10K_HAB
Acre,2023,1790,1547,34,876582.0,12,20.42022309378929,1786.0,20.374591310339476
Acre,2024,1793,1611,34,880631.0,12,20.360400667248825,1805.0,20.49666659474854
Acre,2025,1881,1694,34,884372.0,12,21.26933010090777,1791.0,20.25165880421361
Alagoas,2023,7338,5997,98,3218607.0,27,22.79868278419826,7926.0,24.625560063717003
Alagoas,2024,7413,6062,97,3220104.0,27,23.020995595173325,7776.0,24.14828837826356
Alagoas,2025,7605,6193,99,3220848.0,27,23.61179416104082,8049.0,24.99031311008778
Amapá,2023,1578,1348,22,799124.0,16,19.746622551694102,1529.0,19.133451128986238
Amapá,2024,1859,1547,23,802837.0,16,23.155385215180665,1434.0,17.861658094980676
Amapá,2025,1887,1539,23,806517.0,16,23.396902979106457,1443.0,17.89174933696376
Amazonas,2023,7387,6100,109,4240571.0,13,17.41982388692466,7046.0,16.61568689688252
Amazonas,2024,7569,6195,113,4281209.0,13,17.679585369459886,7070.0,16.51402676206651
Amazonas,2025,7634,6180,112,4321616.0,13,17.664688394341375,8220.0,19.020662641012066
Bahia,2023,33295,26022,624,14828806.0,29,22.45292034975709,34536.0,23.289804991716796
Bahia,2024,33813,26590,627,14850513.0,29,22.76891040733744,36679.0,24.698810068042768
Bahia,2025,33896,26583,626,14870907.0,29,22.793498742208527,37526.0,25.23450654354842
Ceará,2023,21246,16675,311,9196672.0,23,23.101835098609584,22560.0,24.530612812982785
Ceará,2024,21376,16842,310,9233656.0,23,23.15009352741753,23819.0,25.795849444683665
Ceará,2025,22552,17681,319,9268836.0,23,24.330994744108107,23608.0,25.470296378099686
Distrito Federal,2023,10108,5200,72,2967543.0,53,34.06184847195137,6963.0,23.463855452136666
Distrito Federal,2024,10686,5555,71,2982818.0,53,35.82518276341366,7179.0,24.06784456845842
Distrito Federal,2025,10531,5560,69,2996899.0,53,35.13965602444394,7066.0,23.577704820883188
Espírito Santo,2023,9814,6542,116,4076068.0,32,24.07712530801743,11658.0,28.60109301414991
Espírito Santo,2024,10118,6763,114,4102129.0,32,24.665240902955517,11968.0,29.175094201084363
Espírito Santo,2025,10243,6776,114,4126854.0,32,24.820359528105428,12524.0,30.347572266913243
Goiás,2023,20545,13037,450,7274463.0,52,28.242634542233564,15304.0,21.037979023331346
Goiás,2024,20177,13250,451,7350483.0,52,27.449896829909,15920.0,21.65844067661948
Goiás,2025,20313,13289,453,7423629.0,52,27.362628170130805,16484.0,22.204773433586187
Maranhão,2023,16732,14212,316,7003234.0,21,23.891819122422586,13773.0,19.6666283034381
Maranhão,2024,16485,14032,316,7010960.0,21,23.51318507023289,14533.0,20.72897292239579
Maranhão,2025,16900,14423,323,7018211.0,21,24.08021075456409,15116.0,21.5382524121888
Mato Grosso,2023,9105,6626,177,3778389.0,51,24.09757174287772,6979.0,18.47083505695152
Mato Grosso,2024,9228,6743,176,3836399.0,51,24.053806707800724,7992.0,20.832035458251344
Mato Grosso,2025,9326,6793,180,3893659.0,51,23.951763623881803,8470.0,21.753317380900587
Mato Grosso do Sul,2023,6630,4435,121,2878009.0,50,23.03675909283119,8679.0,30.156264278534223
Mato Grosso do Sul,2024,6665,4467,124,2901895.0,50,22.96775038380093,8900.0,30.66961416591572
Mato Grosso do Sul,2025,6802,4492,122,2924631.0,50,23.257634894795277,8872.0,30.33545086542542
Minas Gerais,2023,47410,32482,642,21247401.0,31,22.313317285252914,68682.0,32.32489470123899
Minas Gerais,2024,48640,32933,661,21322691.0,31,22.81137967060537,72514.0,34.00790266106656
Minas Gerais,2025,49594,33311,663,21393441.0,31,23.1818714904255,71612.0,33.47381096851133
Paraná,2023,29781,20510,432,11753862.0,41,25.33720406109924,39061.0,33.23248137505783
Paraná,2024,31004,21543,444,11824665.0,41,26.21977028524698,42435.0,35.8868517628195
Paraná,2025,31046,21780,448,11890584.0,41,26.109735232516755,42018.0,35.33720463183305
Paraíba,2023,10665,7968,182,4124468.0,25,25.857880337536866,10637.0,25.789992794222186
Paraíba,2024,10611,8174,188,4145040.0,25,25.599270453361125,12663.0,30.549765502866077
Paraíba,2025,10851,8197,192,4164468.0,25,26.0561493088673,12996.0,31.206867239705048
Pará,2023,16494,12400,265,8616120.0,15,19.14318742078801,14281.0,16.57474594132858
Pará,2024,16778,12602,275,8664306.0,15,19.364505362576068,14876.0,17.169292035622934
Pará,2025,17399,12872,284,8711196.0,15,19.9731472004533,16392.0,18.817163567436662
Pernambuco,2023,25489,18135,381,9514483.0,26,26.789684736417104,26818.0,28.186502619217464
Pernambuco,2024,25513,18032,390,9539029.0,26,26.745908834117184,28237.0,29.60154539838384
Pernambuco,2025,25628,17564,396,9562007.0,26,26.80190466290184,28191.0,29.48230429030223
Piauí,2023,8264,6643,197,3365881.0,22,24.55226432544704,8239.0,24.477989566476058
Piauí,2024,8105,6576,196,3375646.0,22,24.010219081029238,8399.0,24.881163486929612
Piauí,2025,8020,6595,194,3384547.0,22,23.695933311016216,8141.0,24.053440534287155
