NOME_UF,ANO_REF,TOTAL_LEITOS_EXISTENTES,TOTAL_LEITOS_SUS,QTD_ESTABELECIMENTOS,POPULACAO,CO_UF_IBGE,LEITOS_POR_10K_HAB
Acre,2023,1790,1547,34,876582.0,12,20.420223093789286
Acre,2024,1793,1611,34,880631.0,12,20.360400667248825
Acre,2025,1881,1694,34,884372.0,12,21.269330100907766
Alagoas,2023,7338,5997,98,3218607.0,27,22.79868278419826
Alagoas,2024,7413,6062,97,3220104.0,27,23.020995595173325
Alagoas,2025,7605,6193,99,3220848.0,27,23.61179416104082
Amapá,2023,1578,1348,22,799124.0,16,19.746622551694106
Amapá,2024,1859,1547,23,802837.0,16,23.155385215180665
Amapá,2025,1887,1539,23,806517.0,16,23.396902979106457
Amazonas,2023,7387,6100,109,4240571.0,13,17.41982388692466
Amazonas,2024,7569,6195,113,4281209.0,13,17.679585369459886
Amazonas,2025,7634,6180,112,4321616.0,13,17.664688394341375
Bahia,2023,33295,26022,624,14828806.0,29,22.45292034975709
Bahia,2024,33813,26590,627,14850513.0,29,22.76891040733744
Bahia,2025,33896,26583,626,14870907.0,29,22.793498742208527
Ceará,2023,21246,16675,311,9196672.0,23,23.101835098609584
Ceará,2024,21376,16842,310,9233656.0,23,23.15009352741753
Ceará,2025,22552,17681,319,9268836.0,23,24.330994744108107
Distrito Federal,2023,10108,5200,72,2967543.0,53,34.06184847195137
Distrito Federal,2024,10686,5555,71,2982818.0,53,35.82518276341366
Distrito Federal,2025,10531,5560,69,2996899.0,53,35.13965602444394
Espírito Santo,2023,9814,6542,116,4076068.0,32,24.07712530801743
Espírito Santo,2024,10118,6763,114,4102129.0,32,24.665240902955514
Espírito Santo,2025,10243,6776,114,4126854.0,32,24.820359528105428
Goiás,2023,20545,13037,450,7274463.0,52,28.242634542233564
Goiás,2024,20177,13250,451,7350483.0,52,27.449896829909
Goiás,2025,20313,13289,453,7423629.0,52,27.362628170130805
Maranhão,2023,16732,14212,316,7003234.0,21,23.891819122422586
Maranhão,2024,16485,14032,316,7010960.0,21,23.51318507023289
Maranhão,2025,16900,14423,323,7018211.0,21,24.080210754564092
Mato Grosso,2023,9105,6626,177,3778389.0,51,24.09757174287772
Mato Grosso,2024,9228,6743,176,3836399.0,51,24.053806707800724
Mato Grosso,2025,9326,6793,180,3893659.0,51,23.951763623881803
Mato Grosso do Sul,2023,6630,4435,121,2878009.0,50,23.03675909283119
Mato Grosso do Sul,2024,6665,4467,124,2901895.0,50,22.96775038380093
Mato Grosso do Sul,2025,6802,4492,122,2924631.0,50,23.257634894795274
Minas Gerais,2023,47410,32482,642,21247401.0,31,22.313317285252914
Minas Gerais,2024,48640,32933,661,21322691.0,31,22.811379670605366
Minas Gerais,2025,49594,33311,663,21393441.0,31,23.1818714904255
Paraná,2023,29781,20510,432,11753862.0,41,25.337204061099236
Paraná,2024,31004,21543,444,11824665.0,41,26.21977028524698
Paraná,2025,31046,21780,448,11890584.0,41,26.109735232516755
Paraíba,2023,10665,7968,182,4124468.0,25,25.857880337536862
Paraíba,2024,10611,8174,188,4145040.0,25,25.599270453361125
Paraíba,2025,10851,8197,192,4164468.0,25,26.0561493088673
Pará,2023,16494,12400,265,8616120.0,15,19.14318742078801
Pará,2024,16778,12602,275,8664306.0,15,19.364505362576068
Pará,2025,17399,12872,284,8711196.0,15,19.9731472004533
Pernambuco,2023,25489,18135,381,9514483.0,26,26.789684736417104
Pernambuco,2024,25513,18032,390,9539029.0,26,26.745908834117184
Pernambuco,2025,25628,17564,396,9562007.0,26,26.801904662901837
Piauí,2023,8264,6643,197,3365881.0,22,24.552264325447037
Piauí,2024,8105,6576,196,3375646.0,22,24.010219081029234
Piauí,2025,8020,6595,194,3384547.0,22,23.695933311016216
Rio Grande do Norte,2023,8213,6658,197,3436278.0,24,23.90086017487526
Rio Grande do Norte,2024,8255,6741,199,3446071.0,24,23.954816949505684
Rio Grande do Norte,2025,8344,6719,197,3455236.0,24,24.14885698111504
Rio Grande do Sul,2023,32488,22159,324,11222292.0,43,28.94952296732254
Rio Grande do Sul,2024,33363,22678,328,11229915.0,43,29.709040540378087
Rio Grande do Sul,2025,33581,22926,330,11233263.0,43,29.89425245362812
Rio de Janeiro,2023,45520,24469,495,17213813.0,33,26.443879691268865
Rio de Janeiro,2024,44767,24201,505,17219679.0,33,25.997581023432552
Rio de Janeiro,2025,44096,24229,493,17223547.0,33,25.602159648067847
Rondônia,2023,5435,4040,108,1740255.0,11,31.231055218919067
Rondônia,2024,5500,4169,107,1746227.0,11,31.49647783478322
Rondônia,2025,5936,4681,113,1751950.0,11,33.8822454978738
Roraima,2023,1563,1398,21,695270.0,14,22.48047521106908
Roraima,2024,1605,1429,21,716793.0,14,22.391401701746528
Roraima,2025,1680,1466,20,738772.0,14,22.74043954020997
Santa Catarina,2023,17647,12846,230,7927212.0,42,22.261294386979937
Santa Catarina,2024,17915,13159,232,8058441.0,42,22.23134722956959
Santa Catarina,2025,18363,13392,243,8186962.0,42,22.429565448086848
Sergipe,2023,3766,2782,51,2281994.0,28,16.503110875839287
Sergipe,2024,3841,2837,52,2291077.0,28,16.7650410702041
Sergipe,2025,4275,3146,55,2299425.0,28,18.591604422844842
São Paulo,2023,108413,61529,998,45850570.0,35,23.64485327009021
São Paulo,2024,108951,61828,1015,45973194.0,35,23.69881022406231
São Paulo,2025,110147,61862,1023,46081801.0,35,23.90249460953143
Tocantins,2023,3724,2795,76,1567191.0,17,23.762259992559937
Tocantins,2024,3778,2813,76,1577342.0,17,23.951685810686584
Tocantins,2025,3856,2963,78,1586859.0,17,24.299575450622896
