OBITOS,CO_UF_IBGE,NOME_UF,ANO_REF,MES_REF
266.0,11,Rondônia,2023,12
99.0,12,Acre,2023,12
357.0,13,Amazonas,2023,12
102.0,14,Roraima,2023,12
1121.0,15,Pará,2023,12
140.0,16,Amapá,2023,12
280.0,17,Tocantins,2023,12
1137.0,21,Maranhão,2023,12
778.0,22,Piauí,2023,12
1806.0,23,Ceará,2023,12
550.0,24,Rio Grande do Norte,2023,12
807.0,25,Paraíba,2023,12
2267.0,26,Pernambuco,2023,12
697.0,27,Alagoas,2023,12
426.0,28,Sergipe,2023,12
2872.0,29,Bahia,2023,12
5803.0,31,Minas Gerais,2023,12
929.0,32,Espírito Santo,2023,12
4760.0,33,Rio de Janeiro,2023,12
11292.0,35,São Paulo,2023,12
3225.0,41,Paraná,2023,12
1878.0,42,Santa Catarina,2023,12
3240.0,43,Rio Grande do Sul,2023,12
762.0,50,Mato Grosso do Sul,2023,12
512.0,51,Mato Grosso,2023,12
1243.0,52,Goiás,2023,12
594.0,53,Distrito Federal,2023,12
291.0,11,Rondônia,2023,11
177.0,12,Acre,2023,11
393.0,13,Amazonas,2023,11
128.0,14,Roraima,2023,11
1167.0,15,Pará,2023,11
127.0,16,Amapá,2023,11
259.0,17,Tocantins,2023,11
1189.0,21,Maranhão,2023,11
666.0,22,Piauí,2023,11
1874.0,23,Ceará,2023,11
647.0,24,Rio Grande do Norte,2023,11
837.0,25,Paraíba,2023,11
2137.0,26,Pernambuco,2023,11
684.0,27,Alagoas,2023,11
500.0,28,Sergipe,2023,11
2741.0,29,Bahia,2023,11
5949.0,31,Minas Gerais,2023,11
968.0,32,Espírito Santo,2023,11
5043.0,33,Rio de Janeiro,2023,11
11636.0,35,São Paulo,2023,11
3264.0,41,Paraná,2023,11
1960.0,42,Santa Catarina,2023,11
3519.0,43,Rio Grande do Sul,2023,11
759.0,50,Mato Grosso do Sul,2023,11
593.0,51,Mato Grosso,2023,11
1285.0,52,Goiás,2023,11
592.0,53,Distrito Federal,2023,11
282.0,11,Rondônia,2023,10
94.0,12,Acre,2023,10
479.0,13,Amazonas,2023,10
104.0,14,Roraima,2023,10
1102.0,15,Pará,2023,10
96.0,16,Amapá,2023,10
223.0,17,Tocantins,2023,10
1032.0,21,Maranhão,2023,10
696.0,22,Piauí,2023,10
1779.0,23,Ceará,2023,10
680.0,24,Rio Grande do Norte,2023,10
861.0,25,Paraíba,2023,10
2522.0,26,Pernambuco,2023,10
681.0,27,Alagoas,2023,10
497.0,28,Sergipe,2023,10
2911.0,29,Bahia,2023,10
5868.0,31,Minas Gerais,2023,10
1090.0,32,Espírito Santo,2023,10
5053.0,33,Rio de Janeiro,2023,10
11365.0,35,São Paulo,2023,10
3215.0,41,Paraná,2023,10
1892.0,42,Santa Catarina,2023,10
3610.0,43,Rio Grande do Sul,2023,10
730.0,50,Mato Grosso do Sul,2023,10
562.0,51,Mato Grosso,2023,10
1263.0,52,Goiás,2023,10
602.0,53,Distrito Federal,2023,10
344.0,11,Rondônia,2023,9
113.0,12,Acre,2023,9
446.0,13,Amazonas,2023,9
105.0,14,Roraima,2023,9
1175.0,15,Pará,2023,9
114.0,16,Amapá,2023,9
270.0,17,Tocantins,2023,9
1163.0,21,Maranhão,2023,9
752.0,22,Piauí,2023,9
1826.0,23,Ceará,2023,9
619.0,24,Rio Grande do Norte,2023,9
884.0,25,Paraíba,2023,9
1853.0,26,Pernambuco,2023,9
675.0,27,Alagoas,2023,9
468.0,28,Sergipe,2023,9
2888.0,29,Bahia,2023,9
5709.0,31,Minas Gerais,2023,9
999.0,32,Espírito Santo,2023,9
