texto,categoria,metadados_json
"Estabelecimento de saúde: HOSPITAL MUNICIPAL ANTONIO GIGLIO. Código CNES: 0008028. Localização: OSASCO, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Grande.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0008028"", ""nome_oficial_tabela"": ""HOSPITAL MUNICIPAL ANTONIO GIGLIO"", ""uf"": ""SP"", ""municipio"": ""OSASCO"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL MATERNIDADE AMADOR AGUIAR. Código CNES: 0008036. Localização: OSASCO, São Paulo (SP). Tipo de unidade: HOSPITAL ESPECIALIZADO. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Grande.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0008036"", ""nome_oficial_tabela"": ""HOSPITAL MATERNIDADE AMADOR AGUIAR"", ""uf"": ""SP"", ""municipio"": ""OSASCO"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO. Código CNES: 0008052. Localização: OSASCO, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Grande.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0008052"", ""nome_oficial_tabela"": ""HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO"", ""uf"": ""SP"", ""municipio"": ""OSASCO"", ""desabilitado"": false}"
"Estabelecimento de saúde: PRONTO SOCORRO CONRADO CESARINO NUVOLINI. Código CNES: 0008087. Localização: OSASCO, São Paulo (SP). Tipo de unidade: PRONTO SOCORRO GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Médio.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0008087"", ""nome_oficial_tabela"": ""PRONTO SOCORRO CONRADO CESARINO NUVOLINI"", ""uf"": ""SP"", ""municipio"": ""OSASCO"", ""desabilitado"": false}"
"Estabelecimento de saúde: PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA. Código CNES: 0008141. Localização: OSASCO, São Paulo (SP). Tipo de unidade: PRONTO SOCORRO GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Pequeno.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0008141"", ""nome_oficial_tabela"": ""PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA"", ""uf"": ""SP"", ""municipio"": ""OSASCO"", ""desabilitado"": false}"
"Estabelecimento de saúde: CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO. Código CNES: 0008923. Localização: SANTO ANDRE, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Grande.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0008923"", ""nome_oficial_tabela"": ""CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO"", ""uf"": ""SP"", ""municipio"": ""SANTO ANDRE"", ""desabilitado"": false}"
"Estabelecimento de saúde: UPA SAO FRANCISCO XAVIER. Código CNES: 0009164. Localização: SAO JOSE DOS CAMPOS, São Paulo (SP). Tipo de unidade: UNIDADE MISTA. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Pequeno.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0009164"", ""nome_oficial_tabela"": ""UPA SAO FRANCISCO XAVIER"", ""uf"": ""SP"", ""municipio"": ""SAO JOSE DOS CAMPOS"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO. Código CNES: 0009539. Localização: SAO JOSE DOS CAMPOS, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_FILANTRÓPICO. Porte: Médio.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0009539"", ""nome_oficial_tabela"": ""HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO"", ""uf"": ""SP"", ""municipio"": ""SAO JOSE DOS CAMPOS"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL PIO XII. Código CNES: 0009601. Localização: SAO JOSE DOS CAMPOS, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_FILANTRÓPICO. Porte: Médio.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0009601"", ""nome_oficial_tabela"": ""HOSPITAL PIO XII"", ""uf"": ""SP"", ""municipio"": ""SAO JOSE DOS CAMPOS"", ""desabilitado"": false}"
"Estabelecimento de saúde: HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE. Código CNES: 0009628. Localização: SAO JOSE DOS CAMPOS, São Paulo (SP). Tipo de unidade: HOSPITAL GERAL. Natureza jurídica: HOSPITAL_PÚBLICO. Porte: Grande.",entidade_hospital,"{""categoria"": ""entidade_hospital"", ""cnes"": ""0009628"", ""nome_oficial_tabela"": ""HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE"", ""uf"": ""SP"", ""municipio"": ""SAO JOSE DOS CAMPOS"", ""desabilitado"": false}"
