texto,categoria,metadados_json
"Óbitos hospitalares registrados no SIH em Acre durante 2023, por mês: janeiro: 108, fevereiro: 141, março: 152, abril: 183, maio: 199, junho: 181, julho: 178, agosto: 161, setembro: 113, outubro: 94, novembro: 177, dezembro: 99. Total de óbitos no ano: 1786.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Acre"", ""co_uf_ibge"": 12, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Acre durante 2024, por mês: janeiro: 126, fevereiro: 153, março: 182, abril: 150, maio: 145, junho: 137, julho: 183, agosto: 147, setembro: 149, outubro: 159, novembro: 151, dezembro: 123. Total de óbitos no ano: 1805.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Acre"", ""co_uf_ibge"": 12, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Acre durante 2025, por mês: janeiro: 151, fevereiro: 132, março: 169, abril: 159, maio: 152, junho: 207, julho: 157, agosto: 126, setembro: 138, outubro: 159, novembro: 137, dezembro: 104. Total de óbitos no ano: 1791.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Acre"", ""co_uf_ibge"": 12, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Alagoas durante 2023, por mês: janeiro: 654, fevereiro: 596, março: 598, abril: 582, maio: 640, junho: 626, julho: 761, agosto: 732, setembro: 675, outubro: 681, novembro: 684, dezembro: 697. Total de óbitos no ano: 7926.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Alagoas"", ""co_uf_ibge"": 27, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Alagoas durante 2024, por mês: janeiro: 638, fevereiro: 619, março: 628, abril: 681, maio: 707, junho: 647, julho: 668, agosto: 660, setembro: 627, outubro: 694, novembro: 564, dezembro: 643. Total de óbitos no ano: 7776.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Alagoas"", ""co_uf_ibge"": 27, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Alagoas durante 2025, por mês: janeiro: 690, fevereiro: 643, março: 607, abril: 633, maio: 651, junho: 601, julho: 757, agosto: 716, setembro: 717, outubro: 703, novembro: 719, dezembro: 612. Total de óbitos no ano: 8049.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Alagoas"", ""co_uf_ibge"": 27, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Amapá durante 2023, por mês: janeiro: 123, fevereiro: 132, março: 126, abril: 147, maio: 157, junho: 125, julho: 114, agosto: 128, setembro: 114, outubro: 96, novembro: 127, dezembro: 140. Total de óbitos no ano: 1529.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Amapá"", ""co_uf_ibge"": 16, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Amapá durante 2024, por mês: janeiro: 140, fevereiro: 130, março: 127, abril: 116, maio: 111, junho: 120, julho: 141, agosto: 105, setembro: 103, outubro: 120, novembro: 112, dezembro: 109. Total de óbitos no ano: 1434.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Amapá"", ""co_uf_ibge"": 16, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Amapá durante 2025, por mês: janeiro: 108, fevereiro: 108, março: 83, abril: 139, maio: 148, junho: 154, julho: 122, agosto: 157, setembro: 83, outubro: 113, novembro: 127, dezembro: 101. Total de óbitos no ano: 1443.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Amapá"", ""co_uf_ibge"": 16, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Amazonas durante 2023, por mês: janeiro: 684, fevereiro: 619, março: 665, abril: 624, maio: 659, junho: 706, julho: 757, agosto: 657, setembro: 446, outubro: 479, novembro: 393, dezembro: 357. Total de óbitos no ano: 7046.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Amazonas"", ""co_uf_ibge"": 13, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Amazonas durante 2024, por mês: janeiro: 487, fevereiro: 566, março: 626, abril: 692, maio: 683, junho: 654, julho: 586, agosto: 581, setembro: 694, outubro: 585, novembro: 503, dezembro: 413. Total de óbitos no ano: 7070.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Amazonas"", ""co_uf_ibge"": 13, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Amazonas durante 2025, por mês: janeiro: 755, fevereiro: 525, março: 609, abril: 590, maio: 575, junho: 772, julho: 770, agosto: 894, setembro: 684, outubro: 811, novembro: 634, dezembro: 601. Total de óbitos no ano: 8220.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Amazonas"", ""co_uf_ibge"": 13, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Bahia durante 2023, por mês: janeiro: 2771, fevereiro: 2709, março: 2672, abril: 2822, maio: 2869, junho: 2968, julho: 3277, agosto: 3036, setembro: 2888, outubro: 2911, novembro: 2741, dezembro: 2872. Total de óbitos no ano: 34536.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Bahia"", ""co_uf_ibge"": 29, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Bahia durante 2024, por mês: janeiro: 2901, fevereiro: 2884, março: 3177, abril: 3300, maio: 3174, junho: 2925, julho: 3336, agosto: 3244, setembro: 2990, outubro: 3008, novembro: 3038, dezembro: 2702. Total de óbitos no ano: 36679.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Bahia"", ""co_uf_ibge"": 29, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Bahia durante 2025, por mês: janeiro: 2896, fevereiro: 2764, março: 3111, abril: 2944, maio: 3208, junho: 3349, julho: 3479, agosto: 3345, setembro: 3325, outubro: 3251, novembro: 2985, dezembro: 2869. Total de óbitos no ano: 37526.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Bahia"", ""co_uf_ibge"": 29, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Ceará durante 2023, por mês: janeiro: 1924, fevereiro: 1811, março: 1848, abril: 1926, maio: 2094, junho: 1902, julho: 1922, agosto: 1848, setembro: 1826, outubro: 1779, novembro: 1874, dezembro: 1806. Total de óbitos no ano: 22560.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Ceará durante 2024, por mês: janeiro: 1978, fevereiro: 1735, março: 1822, abril: 2144, maio: 2172, junho: 2077, julho: 1991, agosto: 2066, setembro: 2113, outubro: 2045, novembro: 1746, dezembro: 1930. Total de óbitos no ano: 23819.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Ceará durante 2025, por mês: janeiro: 2113, fevereiro: 1857, março: 1928, abril: 1934, maio: 2226, junho: 1894, julho: 1943, agosto: 1925, setembro: 2112, outubro: 1946, novembro: 1806, dezembro: 1924. Total de óbitos no ano: 23608.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Distrito Federal durante 2023, por mês: janeiro: 549, fevereiro: 507, março: 615, abril: 564, maio: 547, junho: 629, julho: 613, agosto: 573, setembro: 578, outubro: 602, novembro: 592, dezembro: 594. Total de óbitos no ano: 6963.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Distrito Federal"", ""co_uf_ibge"": 53, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Distrito Federal durante 2024, por mês: janeiro: 653, fevereiro: 581, março: 610, abril: 651, maio: 653, junho: 562, julho: 615, agosto: 630, setembro: 574, outubro: 571, novembro: 554, dezembro: 525. Total de óbitos no ano: 7179.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Distrito Federal"", ""co_uf_ibge"": 53, ""ano"": 2024}"
"Óbitos hospitalares registrados no SIH em Distrito Federal durante 2025, por mês: janeiro: 652, fevereiro: 505, março: 590, abril: 516, maio: 599, junho: 577, julho: 664, agosto: 603, setembro: 633, outubro: 603, novembro: 548, dezembro: 576. Total de óbitos no ano: 7066.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Distrito Federal"", ""co_uf_ibge"": 53, ""ano"": 2025}"
"Óbitos hospitalares registrados no SIH em Espírito Santo durante 2023, por mês: janeiro: 987, fevereiro: 781, março: 974, abril: 909, maio: 933, junho: 1010, julho: 996, agosto: 1082, setembro: 999, outubro: 1090, novembro: 968, dezembro: 929. Total de óbitos no ano: 11658.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Espírito Santo"", ""co_uf_ibge"": 32, ""ano"": 2023}"
"Óbitos hospitalares registrados no SIH em Espírito Santo durante 2024, por mês: janeiro: 908, fevereiro: 890, março: 970, abril: 1001, maio: 1027, junho: 1070, julho: 1059, agosto: 983, setembro: 1014, outubro: 1080, novembro: 964, dezembro: 1002. Total de óbitos no ano: 11968.",resumo_obitos_mes,"{""categoria"": ""resumo_obitos_mes"", ""uf_nome"": ""Espírito Santo"", ""co_uf_ibge"": 32, ""ano"": 2024}"
