texto,categoria,metadados_json
"Em 2023, o estado de Acre registrou 59.780 internações pelo SUS, com 1.786 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 2,99%). O valor total gasto com internações foi de R$ 54.993.404,49, com gasto médio de R$ 919,93 por internação. A permanência média foi de 4,6 dias. O estado contava com 34 hospitais e 20,4 leitos por 10 mil habitantes, para uma população estimada de 876.582 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Acre"", ""co_uf_ibge"": 12, ""ano"": 2023}"
"Em 2024, o estado de Acre registrou 57.240 internações pelo SUS, com 1.805 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,15%). O valor total gasto com internações foi de R$ 58.829.216,76, com gasto médio de R$ 1.027,76 por internação. A permanência média foi de 4,8 dias. O estado contava com 34 hospitais e 20,4 leitos por 10 mil habitantes, para uma população estimada de 880.631 habitantes. Em relação a 2023, houve queda de 4,2% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Acre"", ""co_uf_ibge"": 12, ""ano"": 2024}"
"Em 2025, o estado de Acre registrou 61.479 internações pelo SUS, com 1.791 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 2,91%). O valor total gasto com internações foi de R$ 63.907.906,62, com gasto médio de R$ 1.039,51 por internação. A permanência média foi de 4,7 dias. O estado contava com 34 hospitais e 21,3 leitos por 10 mil habitantes, para uma população estimada de 884.372 habitantes. Em relação a 2024, houve aumento de 7,4% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Acre"", ""co_uf_ibge"": 12, ""ano"": 2025}"
"Em 2023, o estado de Alagoas registrou 162.320 internações pelo SUS, com 7.926 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 4,88%). O valor total gasto com internações foi de R$ 230.291.187,85, com gasto médio de R$ 1.418,75 por internação. A permanência média foi de 5,8 dias. O estado contava com 98 hospitais e 22,8 leitos por 10 mil habitantes, para uma população estimada de 3.218.607 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Alagoas"", ""co_uf_ibge"": 27, ""ano"": 2023}"
"Em 2024, o estado de Alagoas registrou 170.203 internações pelo SUS, com 7.776 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 4,57%). O valor total gasto com internações foi de R$ 263.311.174,02, com gasto médio de R$ 1.547,04 por internação. A permanência média foi de 5,8 dias. O estado contava com 97 hospitais e 23,0 leitos por 10 mil habitantes, para uma população estimada de 3.220.104 habitantes. Em relação a 2023, houve aumento de 4,9% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Alagoas"", ""co_uf_ibge"": 27, ""ano"": 2024}"
"Em 2025, o estado de Alagoas registrou 173.657 internações pelo SUS, com 8.049 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 4,63%). O valor total gasto com internações foi de R$ 290.354.971,50, com gasto médio de R$ 1.672,00 por internação. A permanência média foi de 5,9 dias. O estado contava com 99 hospitais e 23,6 leitos por 10 mil habitantes, para uma população estimada de 3.220.848 habitantes. Em relação a 2024, houve aumento de 2,0% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Alagoas"", ""co_uf_ibge"": 27, ""ano"": 2025}"
"Em 2023, o estado de Amapá registrou 56.850 internações pelo SUS, com 1.529 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 2,69%). O valor total gasto com internações foi de R$ 47.548.196,68, com gasto médio de R$ 836,38 por internação. A permanência média foi de 4,8 dias. O estado contava com 22 hospitais e 19,7 leitos por 10 mil habitantes, para uma população estimada de 799.124 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Amapá"", ""co_uf_ibge"": 16, ""ano"": 2023}"
"Em 2024, o estado de Amapá registrou 57.244 internações pelo SUS, com 1.434 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 2,51%). O valor total gasto com internações foi de R$ 49.733.739,05, com gasto médio de R$ 868,80 por internação. A permanência média foi de 4,9 dias. O estado contava com 23 hospitais e 23,2 leitos por 10 mil habitantes, para uma população estimada de 802.837 habitantes. Em relação a 2023, houve aumento de 0,7% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Amapá"", ""co_uf_ibge"": 16, ""ano"": 2024}"
"Em 2025, o estado de Amapá registrou 57.873 internações pelo SUS, com 1.443 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 2,49%). O valor total gasto com internações foi de R$ 54.508.024,62, com gasto médio de R$ 941,86 por internação. A permanência média foi de 4,7 dias. O estado contava com 23 hospitais e 23,4 leitos por 10 mil habitantes, para uma população estimada de 806.517 habitantes. Em relação a 2024, houve aumento de 1,1% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Amapá"", ""co_uf_ibge"": 16, ""ano"": 2025}"
"Em 2023, o estado de Amazonas registrou 214.624 internações pelo SUS, com 7.046 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,28%). O valor total gasto com internações foi de R$ 243.509.737,90, com gasto médio de R$ 1.134,59 por internação. A permanência média foi de 4,9 dias. O estado contava com 109 hospitais e 17,4 leitos por 10 mil habitantes, para uma população estimada de 4.240.571 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Amazonas"", ""co_uf_ibge"": 13, ""ano"": 2023}"
"Em 2024, o estado de Amazonas registrou 225.999 internações pelo SUS, com 7.070 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,13%). O valor total gasto com internações foi de R$ 265.871.955,64, com gasto médio de R$ 1.176,43 por internação. A permanência média foi de 4,9 dias. O estado contava com 113 hospitais e 17,7 leitos por 10 mil habitantes, para uma população estimada de 4.281.209 habitantes. Em relação a 2023, houve aumento de 5,3% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Amazonas"", ""co_uf_ibge"": 13, ""ano"": 2024}"
"Em 2025, o estado de Amazonas registrou 264.482 internações pelo SUS, com 8.220 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,11%). O valor total gasto com internações foi de R$ 321.518.423,24, com gasto médio de R$ 1.215,65 por internação. A permanência média foi de 4,6 dias. O estado contava com 112 hospitais e 17,7 leitos por 10 mil habitantes, para uma população estimada de 4.321.616 habitantes. Em relação a 2024, houve aumento de 17,0% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Amazonas"", ""co_uf_ibge"": 13, ""ano"": 2025}"
"Em 2023, o estado de Bahia registrou 893.953 internações pelo SUS, com 34.536 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,86%). O valor total gasto com internações foi de R$ 1.172.359.754,83, com gasto médio de R$ 1.311,43 por internação. A permanência média foi de 4,7 dias. O estado contava com 624 hospitais e 22,5 leitos por 10 mil habitantes, para uma população estimada de 14.828.806 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Bahia"", ""co_uf_ibge"": 29, ""ano"": 2023}"
"Em 2024, o estado de Bahia registrou 942.814 internações pelo SUS, com 36.679 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,89%). O valor total gasto com internações foi de R$ 1.256.991.152,85, com gasto médio de R$ 1.333,23 por internação. A permanência média foi de 4,7 dias. O estado contava com 627 hospitais e 22,8 leitos por 10 mil habitantes, para uma população estimada de 14.850.513 habitantes. Em relação a 2023, houve aumento de 5,5% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Bahia"", ""co_uf_ibge"": 29, ""ano"": 2024}"
"Em 2025, o estado de Bahia registrou 959.081 internações pelo SUS, com 37.526 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 3,91%). O valor total gasto com internações foi de R$ 1.362.492.312,62, com gasto médio de R$ 1.420,62 por internação. A permanência média foi de 4,7 dias. O estado contava com 626 hospitais e 22,8 leitos por 10 mil habitantes, para uma população estimada de 14.870.907 habitantes. Em relação a 2024, houve aumento de 1,7% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Bahia"", ""co_uf_ibge"": 29, ""ano"": 2025}"
"Em 2023, o estado de Ceará registrou 553.695 internações pelo SUS, com 22.560 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 4,07%). O valor total gasto com internações foi de R$ 764.218.302,66, com gasto médio de R$ 1.380,22 por internação. A permanência média foi de 5,9 dias. O estado contava com 311 hospitais e 23,1 leitos por 10 mil habitantes, para uma população estimada de 9.196.672 habitantes.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2023}"
"Em 2024, o estado de Ceará registrou 582.335 internações pelo SUS, com 23.819 óbitos hospitalares registrados no SIH (taxa de mortalidade hospitalar de 4,09%). O valor total gasto com internações foi de R$ 847.978.907,74, com gasto médio de R$ 1.456,17 por internação. A permanência média foi de 5,8 dias. O estado contava com 310 hospitais e 23,2 leitos por 10 mil habitantes, para uma população estimada de 9.233.656 habitantes. Em relação a 2023, houve aumento de 5,2% no número de internações.",resumo_uf_ano,"{""categoria"": ""resumo_uf_ano"", ""uf_nome"": ""Ceará"", ""co_uf_ibge"": 23, ""ano"": 2024}"
